,New (Shinjitai),Radical,English meaning,Readings,URLs
882,策,竹,scheme,サク,"['ANd9GcSYtsytP3nFWoLqIMMOIBJj3tEPJuEixvltdr1-k1GhqFWoChw-Dy6KQ77m3kk&s', 'ANd9GcRS4VrHLNwfM95A7MbWI1-_UKoNTPnakV7jFtwm9Ng6zluH8OVwYgwLbcb10A&s', 'ANd9GcRscEw0W7gU0jsf7ys76_AdaGW9ctbnOSNhQYPUFAZMPjB73BquoH5CdaITBQ&s', 'ANd9GcR4BCjY6jqP_xFDBCSDhU3-BS12v63Pf9dfefz3T7Ml5WJ8ZCmgdJJOkrnzVcg&s', 'ANd9GcRpBjYqm41v4c02EnVPFo2iq9figIMHuDeTlkebmk3xRKmZfHIBrdsFmqSvmv0&s', 'ANd9GcQsSzTZ49z0HIaLkIlnKYco4mL3AyktKcDpX3Bc0F1F0dX1-kL5MZzxigwEoA&s', 'ANd9GcQJ9nZZFVipfaNFWlk9YCtPkCLMaxEuKop5iVlYKnwA_9WtaTIbNn15ZyD6ng&s', 'ANd9GcRbz-EG5Vux753yeiBC7QgYAXYp4FzmPWHz5UXrHhQ3QHlj5ZXzvsgxKvlgbw0&s']"
883,冊,冂,counter for books,サク,"['ANd9GcTTyqdpokYenHq1RWgfjyS9Pb3I6a3CUXXSqyH-jtsLP0qB3wivnoGhX8ZM_io&s', 'ANd9GcQAGNYE4Yq-Nfv8gi90pKcjpTbMLgcMCKO3AlbcVUci9k98dcG-4eOUEqTNlw&s', 'ANd9GcRxKkTKXRXRK3Kptdj2qUiuApzfC61i_InJojvNjbTXORfCMh65BgRDu5I84Q&s', 'ANd9GcS0aXhibXIGC-OsqJ2DMwATDfMuP5T7tVmReidBr03DJ_kiwZCuQuOPMv9l2A&s', 'ANd9GcSpgFHgSTXJtjC8aNzfzzAUIxjqyd3JYBuREzpz6EIQy2f6Eq6PudaaRcIuQ6U&s', 'ANd9GcRA2zahJYp_9-iWTRNpxPGQ6kxQxaFZ1YIxP4ikcm5dGicnxWU_0qYnD13tZbc&s', 'ANd9GcQWIQkqX0a3ukYHtSMZBFakNWFXP-H-xH50AVDvy_9K6aakKex0NX-Fga2MvFQ&s', 'ANd9GcQ6sJn3ibtejTuTUF_q6ZYdEps728xJJY1xE3Zv0w-m4GW_tH9deaw239comQ&s']"
884,蚕,虫,silkworm,かいこ,"['ANd9GcTa4vGzsokD1hvd1u-DctCYeSDPRTGnDJ6aileVM0mcem0rkVc1skLrdwo1yw&s', 'ANd9GcSBEzMVjRYpSSHuFOyUiN2RuR-LnsGwAv8IBr8K8GzjLETj_2PjmkB7wPzx7a4&s', 'ANd9GcT4X8WC0t5qHsWowoJECY-k-nQrs3_E3oYS85CkuF9wJLgybtvJz_Wln3fUeA&s', 'ANd9GcTX38Oj56OWKdMXszVyfh7UJd7Gs7XdxCewzQBqXI_nYkmcPa8FXnnOpa2bZw&s', 'ANd9GcSIQ8FMreft8d21-k4darJkM8N1MnMC2rGs4DQDY0kq6GSYw3-7zDlvrnMs4g&s', 'ANd9GcSSz9dQweXAOifMN0u_LsvrOZ_GzZ9xTqS6N2dQDmUYOGYP_Gjsnsa8WSQv6Q&s', 'ANd9GcTUK8VdbKIkDwitT0K_Ogjn9yV_WGfVhavV1HinHTCfrCs8je3u0Ed-VANqNzk&s', 'ANd9GcRdzRt0u0DMUA9WMGPUHWTYgSdnE5zannymnyZze4zKIS_uMtDxS_5AALWnsK4&s']"
885,至,至,climax,いた-る,"['ANd9GcTegEmEHD5VePd-o6RiY7JWn3XmxMpeVUtWsUuOoONnb0ojjnjhJxVgjQb8MME&s', 'ANd9GcTQI_Eg1nSmNfdXGDd_bd39SgReOhzl8Gx0Kgti600lTK40Bg3wvq98Y0Vsag&s', 'ANd9GcS5yevePDS58k73HgTYksBPxGFEDvI2QzqFaU3sxGNn0lUslZRpWcvNoy_Qz6s&s', 'ANd9GcRRaCB7D2D4a3v8U9Hm5JHuDoPREXjWMxTY3x4eBwnj8AgxXyGTaZDOiQq3qoA&s', 'ANd9GcSfNsGPUnVycurJ_Erk4oAzSxu_w7XW7UCnkOCXHzErfjDrPR9UEKZPyfKrLMg&s', 'ANd9GcQ8MfZEAJhiDD4HpfWmIry8w1WXwtLXaz8zpJLbngCSgY1oQKbaA3lc4mhaVQ&s', 'ANd9GcQhedu-5yy4nRzbQKMlzc3XFXh-6vcnA7mBaGJ7YmzTz98iUI9XDeh_dq1UMT4&s', 'ANd9GcQFAMuFoVEhu_taY3IPWttyzO80H0YoUmARnKoUc4YWSGDJ90b8hPGbTeFuves&s']"
886,私,禾,me,わたくし,"['ANd9GcSS3BZpV3Gq99z9StqGX-k-722uWKUZ0AreGIiiW3Gh9uyCJ2rXc0m_X_dKCw&s', 'ANd9GcSoLrW12jH4ZRFDMsw-oSpb0kj8seXJH8LtH6m_UEP7-XUZwbROTIUop-dT6e0&s', 'ANd9GcRosHZgRSHOEl6LxCbOaxp1jd1Afvlb0sGRaIyONi6B_aOHFdKjqANbh9ZdA8Q&s', 'ANd9GcRCGEekn7ujYL1jswYmCYrSnetljKbcj-DlWxbF8LJk6QcRoMk7CFa6qcYfNw&s', 'ANd9GcQNlNCKDxq-NisNJh6bqiAcaBh1ZL0M5oEVBDVqWaMtWCyPsZ0xkkVwun3E2uc&s', 'ANd9GcTNLf7-Dzd5KcRGVxU62XizTSNoIoz63oULqErGHMOIMsgxQU_UZb4j1ATmEg&s', 'ANd9GcQzfQUpergJteTxALyJRyOe9iDEUkN6xCzvKOFFznFdweWiE7V6rK-9o408oA&s', 'ANd9GcTNb1jvh1K58MFVeak7YN-ifo74V7nRn_ceXmcp4TXzrttv26RnX8qidBlazrk&s']"
887,姿,女,figure,すがた,"['ANd9GcT3Jw3_2OMCTCvZ0Y_5myTPS6Cr8HHzeP5nzFRQAmnVjOUmYkoGAd0yQn5GFw&s', 'ANd9GcQg_ULcZC-FS07n4xv_gikxqeC8skwV3ogqyJZyH69CyRwkkjU3U7TvPsrWyA&s', 'ANd9GcRKCADQ77HskYRxfR9mFPXB471vIaYJw7P9LeeiQ1KFl0Doa1bwcdqPpEwvL_I&s', 'ANd9GcQk8BO7WgzRyLOmyf9dljKTuRXTr3WGgtm7iCNi62lpMIEGllfMg5pDM3k1qCg&s', 'ANd9GcSY1G4iSqYsJP-jUfLUBLXS7C-8Tf0AWpQwhK4TCV6aux86VC9KGZuugj84hA&s', 'ANd9GcT1EWfaOH_WjZrzZLaXa1mLfS-g6MgZf3xvo0xDEjjeJrTr5ToJCAAKj51tKnE&s', 'ANd9GcTR0urevLcotof_T9CN5ZRj1H_7ir487E0FaT8LIdr8DIkt1H1kwMjVLoXfZw&s', 'ANd9GcQ_KXivzaG7yV21Hg4u9ugi9c4NYix7bVxHl4MZW4UOxolg6APC9tzMjS3z2F4&s']"
888,視,見,look at,シ,"['ANd9GcQVwiBBHKxjmSFxF05JGYlOOQzY0QIcPWarxsIqF71G6gM1BVf1hzw-nuQgkA&s', 'ANd9GcSLO07KsHEWggRv8BP5Woufi9l1UrKXViFVN6yxDLyFyJGstJrMHbCVAjYm9Mo&s', 'ANd9GcTLRN7e_zWmVHeW5YbWIeM8AAfJycpKYqAdvRso3zPmxqDxDsyevvPoD_GDZg&s', 'ANd9GcT-z-kHySF2u5_OdDVZBhPA6bsWkJz6QDNIExO2dNrwfzRHUBFwgLo8pWsV7A&s', 'ANd9GcTxAeH_KnbSidSUGcfpw-svhUO7inYqUbfvGR6x7P7ALAY8Q-znOPBmUxWwkg&s', 'ANd9GcQUVBmQ_YVeiV-Y6oad40KFKi6XM7ZBxu4b7Lo17cFp34iNYsTp_GYRzU_AdKc&s', 'ANd9GcTmt0aJ0_-XTjZEPU08a41EGtOa_FtvxDhw_p0_B4pKEgTNipkFqUPRRo0HeQ&s', 'ANd9GcR0PEDDk0oehe93QOKaW8S1wqBbyNQavrxsWWXsRmG-aATEUSROAqNLhB5eKQ&s']"
889,詞,言,poetry,シ,"['ANd9GcR4vCT38xJz97PoJ0vGiJrwxVab-kZ_M6E9034HyqkiuytRNEHuc14gS5PqOa4&s', 'ANd9GcRPtEP3QZ1bNf6xTRwaLXIQ4Wj0YI5uUSJGXJYpHXkwXwy1YoGDWio3FNp3fvY&s', 'ANd9GcTdcakZMnm-AhUioyliw_Qmqp7OiYm-EnuNC_WtY_cKhvrhsw06EoB8I4bKNg&s', 'ANd9GcTQGoSIgIM21EA9hKUoM-r2iLpnmrLziCnc8PAy16TNMk-y9Lxv9FRkJVVSdog&s', 'ANd9GcQzT1kGWkwI9SeYaqHOVwfYWxdTpMgvzsehovlhBggwd-UiBBfnIArsZ7hXmA&s', 'ANd9GcS5BAVZCAU8_fOg7eb6AZN1Ic2R5v2FtGO9XdkjRw5kjRktYtses8hdv-vogA&s', 'ANd9GcRhkrk23z12iCqsrLtZiHwRZnJL_ZFErUrvcnm7JuhJW8dvJbyRCvSpFsKvAA&s', 'ANd9GcTbB245HQ3BkWFe0BP-PtNnQsvQZ_kNC7uV-ULkGWu2F4A0_Il6mrCQMRGV9w&s']"
890,誌,言,document,シ,"['ANd9GcTWvUAcjpPezfpSSeH8cir2YDqYVhisp4T0iT0XR2iGI06hF_p7PJRRakz4kU4&s', 'ANd9GcRSB4uC_uwauYUH5dXbeQy8xJ3pcQrZBmTkl25vS6A4M5jvnltgy-Is228JWo0&s', 'ANd9GcRYkHLdzbSvsiKG7BDnv_aNVFdMDxCcGE5sxotic5dTKPRNgtdvF8acbdShBVs&s', 'ANd9GcStDNlOvING9WuVkmNMSHCJR3M9JVzd2Q24hKeyJusa9OkZnjm3HFpIcpYB1wI&s', 'ANd9GcS9M4CacAiW3UN0SANZeKmVKwtYZrOQe9ndbWSKV5uvZ5cOta5E4mkSJmVa7g&s', 'ANd9GcTNyEhDnotwXk8RFOOpaLYq0ZgsEmQwZgHdXAaxAMnfHDzTKZVjFfLM4TNNGg&s', 'ANd9GcQC-wB92WOW80MVUbWyrAwtkWZVP68suumQxoJr2vZPiw_tQO1QUTw2bH67ens&s', 'ANd9GcTEk2_TyUeAcZDGgkx5JTpJKY8hwb35120dA9ihQa-jyP4MgE9N3hh7LdZ4uwE&s']"
891,磁,石,magnet,ジ,"['ANd9GcRiZoDwwNgvSKOhCftjGgi4als2_VawUASZpYHM1kwrc3FZVZ5p9h1Xo2O6c84&s', 'ANd9GcTQMJzNml9PVBBOINMbGvsERPMMvtW0IQxv6j03GRTB9CcRlJ11VuL39qI5W4A&s', 'ANd9GcTP5OyS3GgDdFT8aGxuRRBXiOfT4kbZ_O-cP_1i4iGC-H53uu4KUmFnSRlnWA&s', 'ANd9GcQYaHT7DTEyiTmKNk1MZdjnOOuJtlDtAzGKB1m2lvRdQwaVOnGUTGcYGYF05A&s', 'ANd9GcSagh3aJAxN717f3XVyncVtRDfNhio9QnrWmV8zE8nyEgpEG-KaqXQ56U_Eaw&s', 'ANd9GcRk9-ThuzdZWIy74vL5lY9-ZQlDnO79pXzratTRXm07NQ4whx1Mz8FNgUJgUA&s', 'ANd9GcSG420wDp9mwNwW6wOCQ8Zi3JRsU2LYVSkTxkQyTA_NvfV_lZCHwUT4uPUnQLc&s', 'ANd9GcSchWiU82jnTguBbgR3yTT-V72omFF80zfMsPMPqVKX5bXAVhglViIwaOomt9Y&s']"
892,射,寸,shoot,い-る,"['ANd9GcQvJAxcVFmv97A4Vj_PGUUhTSgNeGaK56Wcz5g0vsGr5vIykFh-l0wOUyVoR8Q&s', 'ANd9GcSATzAM5hXMV5512N0abCVRXQ9PGSX9Fi2K-Xe_6ndCva40yFeB6CIunmVzEQ&s', 'ANd9GcSXpVznXhGvQO9AsbhqlO5_OGZjJ6vJCdDoWvhs0-xutlRc4HVhHi93hGATQYk&s', 'ANd9GcT8bQyl-uLzmA1mXg2RFg73rB9GmHxFrMiXsh3OqLKLUMIf40xsJjXKCxjVIxQ&s', 'ANd9GcRB0RmrH4o5wDxFNK7KXjaR4z9Q9x85UfAj1Fzcgr2fUB49guQnN0J_KguzuFw&s', 'ANd9GcSMmaXD-aIA8BvSGESMIF3CYaDWM895973VoeSiRXSJj3R-ISUxOJAiECKZo1U&s', 'ANd9GcR-QoWvN4acGO2VCD43ct_P_q06kgGqXId6lWVr-3PcYp3tlviNhn5ExO50ZA&s', 'ANd9GcSpWMNKh94xukoi_l_NPEHbl9B1N-ejdVkpK_gZIR4kawf8RYPZs2HTyLIkog&s']"
893,捨,手,throw away,す-てる,"['ANd9GcTSfLTd6n26J4xiH96wV4-cRJY7TgplMV1stOfs0rXGg5rVVU_wnurJzGyqQM8&s', 'ANd9GcSo8tdgmR4caQv66BHnp582LIhaxFA1AXwCVEckLTgg8vuAbwTYdUT5aBsbCw&s', 'ANd9GcRtstzs3AJcDoHhFWge-1DKngnurcJMm1UTGPjHKO2gdPKaoCmS-HiyD6LVXw&s', 'ANd9GcTWzPCX5dkPzqFOOvBVY4N2hEA-dl1uhr8ijaV3kMvgYACCSTytEqATKevCeeU&s', 'ANd9GcRYEI3yxma5EmATA1LOg-_XTkTfp6RKLGBMMz_e8mkMDc7CxW9bYD5GY4Fustk&s', 'ANd9GcQkA59eTrRCQaVvVb70-i_rpZEprZ6Dx2j6V9U1PQaixDm3BuAMovkkf7GTLE8&s', 'ANd9GcR3F6Fd8ILcI4qM_VKHAeUgVT4HExZ4GyYLu0r3-sD5VzJcQiqZ2VFdmx5cL-A&s', 'ANd9GcQHA_xXV6pfPSxECp6a1ZAGyjC6PT7sWmkMlmIeuiqwOCew65pQTBwBidxvJQ&s']"
894,尺,尸,shaku,シャク,"['ANd9GcSI3g3aJ-c3OXq-HFX-xTVmzDVduQirJX1_S6D0pfP9tODPqQWMAqnr_JjK0_w&s', 'ANd9GcRLxOISaHmlq30xxZCrcKkuAQF5AMaVB9D6vhPfUTy5mPDSMJUzXkcFFENKe48&s', 'ANd9GcR8VAFOaMg9V95qXgJvY3Rvnsl4Yeuk0hNt5rnDCZiNpjpnUR9ss6xMChXaAw&s', 'ANd9GcSI_T4Bv697o_nlP6UeYmiRAR2ddpH3Sq7YrVsAwR-q5P811XE0LIoyshfXjg&s', 'ANd9GcQ9JDgWBF5rNdYfdlkYQwsDo6NE_gKaltDB9_Mmuc9Cl6LQB1v89PKZbOv9ODg&s', 'ANd9GcQXFG2SpbciFYLBQ8hr1dtuRNUnrScWrrpCPLl90j0RpFU1qZKYdrYs7YcmEMg&s', 'ANd9GcT6bZJQc50PHpKNdG2qgYvt1q_mrylVo473AZ2AnQDb1aQL5Q8Roi8nzBZnFA&s', 'ANd9GcThZzIFrbyHKab6hJL3Jp0W0pPb-XlL_MYHBELHadp_s3zXezYfxGBWIGWdEA&s']"
895,若,艸,young,わか-い,"['ANd9GcT_oFPyyZB9d_M-l7ZZFvlXXai7adv70OlcZt58fe6u8j5LM9OSA6sZ8gJQacU&s', 'ANd9GcQmPd6S3TXduxleHWlr6aUQjPQ7iDpyH-wNDEjGl8zm2P0MhzF9W3b1aShOXzE&s', 'ANd9GcSPMjRSb17oVRu_RIikSfX7pJ8i_1ZVW4NkFs_cv3KjJZo7YgV58JB5oSnRKWE&s', 'ANd9GcRqnh5Xo0setPczyT1WEI_q7HvgJKHWXiyATCj6KB0ej79pWv88yryP2ejwHSg&s', 'ANd9GcTJ43jl2qP88wJOcF0xAykp9khnkdRsC0JtJ4N85LTp0fRu8Th8IaJCh7fObeI&s', 'ANd9GcTlfqfeJb_eMa2Ssku6lsTNFQrMmG4mU8xO5AFgvj60j-B1xchEFTg6KqPrPg&s', 'ANd9GcTm7DTjKQQq8ywaBteYndy9vd_xKzVHP9hKET6PBH4E0_-UufjeQfVimahsKA&s', 'ANd9GcSC1Qli9vPrO8stwUQEA4-SOhrMU1u8nIklZttKCdbgLIO7vrPmm8chtH1fEQ&s']"
896,樹,木,trees,ジュ,"['ANd9GcS3e5txCApYoGMfAemdrSUOEL98DfCZNwuEhf4pIJSzWRbm4-Qa5a1z1l5w7Fs&s', 'ANd9GcTtLgdQmTMx9-aBIAR-cAvLmLfkOVgcxc3nRsvqA_UojY-vHZJwals1vG91jG4&s', 'ANd9GcRpAPG1mJYBdpFXxJ7n2PrFKPC9OqQQUwx_E1nLinX3QGUe1hsFQlckZFJ9hg&s', 'ANd9GcQ_9Xi1Bs5BYaseQX0TEnWs-TnhN45VO7E-yMZDqSAU1DAY_h3YJh70D2dGXw&s', 'ANd9GcST3UgQ32f5606PVIKM7uDY4sv90Fn6TVS-MSn_YUylykRz5iwB73rvMrm0AQ&s', 'ANd9GcSMrVLjvszvqrTPhe7OXk_syqASa0ZSvA0-l26jzcuH-wTog8byCnavleJ7u_g&s', 'ANd9GcSjAEG6NJQTwqGL8mHmOfTwvkME9Gl4zdfmxuPIG1fhBDwhWm-3z9kAEpCBBEA&s', 'ANd9GcRSB-Ho27hlDC8LVPvCeQ8xwzmYoOukYhU6nQhUBLIBpfkU-4bUeyvdSQHDYw&s']"
897,収,攴,take in,おさ-める,"['ANd9GcQVvAhb_M-FV8ro5XJHieFg_AivkV9UwzkQAnfLwad1s25Zsxz2exvzxQBosw&s', 'ANd9GcTh8PNd-ArO2q_2N8N38uca36g02CaEvUtcLxPVbi4NWw0-g7JzbwXXjmHsGII&s', 'ANd9GcTnM6aHrf8ssWe5Mhim7lpDNhSVTX9gLFANzy6HwjuzbvhDDtIr9MefdEpHEA&s', 'ANd9GcQvtsiBiYoyW6v3QOPA01m6O96PIjcrtUxiLjVjQSht0nYOIL0VakZiR314bw&s', 'ANd9GcSoj0062O9wyzJG0nwBftpMjAz-jbZ81n6L4ZeH16tOp21JcGdNntETvFvJerE&s', 'ANd9GcSsBzG3Vrjdxn6YZIgasHzOqYnH1z9OcSAVPpRPNwvU8nOSQRyhB9Ctw0I1nw&s', 'ANd9GcQL65YAQon_0Vxz8hi40114vXZs9hmWKSjaCW0eeTD-6mHdx3tKCr0ZCv24XTA&s', 'ANd9GcRd86-_xQ6ddcg6W98Txm0N24WL7VY1ctWrJTHHoledVfjwmwxh1QVJK4uqwts&s']"
898,宗,宀,religion,ソウ,"['ANd9GcRP9p7FL0GL7fqcqhHd6ArRI8c94U7LnpxaiZwYiv8miUrxCWtecFxNoX3LC0s&s', 'ANd9GcSyHRInG1QuoVeB9Qt2rCVod1WwPXS0vUNdkzxnZLE32IKKEYmEld9g69u3Ulk&s', 'ANd9GcQ6xbOOZNSV6LpcQaIH_ASH9woJ9jmjzLFiYZOY-YaPxY_wqIaCjb7GT6p7k3U&s', 'ANd9GcSH9KtmGNYMgaTLKq8XCPr0gJLBCJbApB7tAgGpQFxWpux6Xaqc8opuEwV1hQ&s', 'ANd9GcS89EpNx0X42nyFuLFzgV7wtjMvcti-nrjSNQrLaOiXnE82lXUGbCzQVTdF_w&s', 'ANd9GcTL8EYUForwRkFhM_jdsj7vuRpJPwwcu4X3l45YPdzP763ysIaeUFDQNmCDWw&s', 'ANd9GcTbcQhNoijoaS_0p_NEiRw-sx5rZRzGGOk1yVEuUcT4FDTqyZ2N4H9-kQPTXQ&s', 'ANd9GcQ1rSvveB4twtEDLU25GP8P83mlGBwTXFCFf2V7oSqOIJ79n_TZrP-juWEbBw&s']"
899,就,尢,concerning,つ-く,"['ANd9GcRmbEyEFfgbxviCk55cPQlb-TOGNgf3h0Fx6r8t1PLgocWQrlKMfy7GuqqL8lg&s', 'ANd9GcSgxaRI2lyJvDfaV3JY1RHjl_1YxCqIoJdDuhWLlKJSfK7wVbtj5ir0h-GGCA&s', 'ANd9GcStwDq1wMq3khSWWwfg-3gu6XG1NvN7y48ySHF61qXOaAaGLLcp6p_Q19iV_Q&s', 'ANd9GcQatQ6KUbkdqvxoqxFoceG8jZW7VZaGFQTE6xsLCLOwGGlaXep-bZUU-9-1uQ&s', 'ANd9GcSLOgRu0ujlC3W23xNtjB0u4CHkc30Y8BtADiMPoy0995WPwsjbGDzcKzEsdA&s', 'ANd9GcS1qjxyBwtax9lKTt-mlT7WvNgIvwi62IVSMixWzmRhTSplDkJyN4wpmnD6VV4&s', 'ANd9GcSQYSYsuAtydKjUoy5grzykze-3EJi8M8WYooJffT5IUQBD5N3yG1gJ_81vQA&s', 'ANd9GcTR73-68K_st628Te8CNNZaoOm9FDJgK3MPA49pB_nSWOgqlfmgUafqEV4s934&s']"
900,衆,血,masses,（シュ）,"['ANd9GcTkrw70oJITRB7lRtoWpKzSlKwq8G1KlbQrHilUlK9ejQbYXs8TRjdkzZigxAY&s', 'ANd9GcQns0EjBd-2NFKW7-mv4u_C7XgdiXju_m9hIEKC7HwASkB42VdXTtvDu9nndw&s', 'ANd9GcSQ2w7qO_nX4jns_hjZj9YWjElsepnIkI7np4DCO-ufCUUqFfmjoBidAMkI9g&s', 'ANd9GcQ0KV4v08BL18Q47KldMT2VL0Q4M00HP_mvXDJRVfl8XDCwyLzNk2IQJvoqpYw&s', 'ANd9GcS9c5MMnRLVCf12qrurXgEj54kbRHuFUCOHFplNOqhF-E8eXfA7GjiZVFoHbOw&s', 'ANd9GcSpeTw2h-wsNYSb1k25qlMTVmwAMNu-pyJBjw3PAY1aUKRlct90vZ8Lus8zZhk&s', 'ANd9GcTf19Vr8ic6cbl6DPRQvoSvblKCd4nJDvnCJVTGJOC7-ajVexMeWof87VmWWtE&s', 'ANd9GcTWnJ9FVTP8xWy_w-FTqgnTmHfzYhYx-jsgSoXu5SGpD1V-C-KXv4YQYfWiOw&s']"
901,従,彳,obey,したが-う,"['ANd9GcQp-4f2nKRmbqNnkjwl8UhjF0wXqqcVM557y0juwgo3nwbKKoxGWqtUoNFqPg&s', 'ANd9GcRm0KMvSC33PHLZ437aAqCPT9QRjave4AHlc3ClgvlxLlsvQLBWntS0_1r3Thk&s', 'ANd9GcRcyHB_qVa_FacB-ac-o_OHKqMy95j8ZuqkghKJdGP9GM7oSjUpS_PttVvjDg&s', 'ANd9GcRAlOlZl38SXlkhswWwdD62XAhQmm2Z1l3FZX63FjFiI03S4mpDFm6LU-CoCKg&s', 'ANd9GcS3aJ1TbZrXw_xrRpa1kkXunJYCXsgbN31xx-fUvIuWSfHgPwmNdCaY8uYsS3g&s', 'ANd9GcRjrPxBsheJ8icwISEkBSnh4AKkd0t8FO2b4dFQDhwYrv2uLANlxJ4oqjK2eMM&s', 'ANd9GcRbNmC4rljXQ2C1LeLdoMh6BGN-LdBGrXRxCJmDwXrAj7lWYJPV_LOhfgV1Qt8&s', 'ANd9GcTaNkUxmIaGRvDk0GK1oE-9CFPIbraDlL310NaNs9ulT__16jm4MwfSYacemQ&s']"
902,縦,糸,vertical,たて,"['ANd9GcTJCMhoqbzE7kSeA3D3JpcSrHUiwN-1hKiDWajGa5strnvZta6pGf2go3qLwg&s', 'ANd9GcSd_QChDmuYTKI9558JJr_j6rwIfvO5xlIqwG3j9rje0u28btlUSt4qxKcGrg&s', 'ANd9GcS0fE_Ti36W1cHGUA0QIgGcBSIDhHehKSIluHe7slX5xLUd70e2Wiw5IHKsEGU&s', 'ANd9GcREJ93U69dN587UQAY8Gumt-WLobIDTfeXTlGRiPjHq2P5fxnXOuMM7XM4HeA&s', 'ANd9GcTa7OpMEaa7kXung5InlDej5yNkY4IhrKEyZJsptetZmB0avzXS-sWTXG3uAw&s', 'ANd9GcRPJ70T9lC3F5RHym2ilRCkWFhBPz-MJZLNmBr0T7i3JQNN1E9YuT8Dc9QlhQ&s', 'ANd9GcRymGES8nQOnnqYI55TVsMUE4ki-SfdDrRfWt9Gx_l49e09K2OSG_4f1siybpg&s', 'ANd9GcRniIWRt7HU1LzjTXfnG6ZQCMMoO9kjI0asJArHq8eKx85-BI5WlCvYSeQ46g&s']"
903,縮,糸,shrink,ちぢ-む,"['ANd9GcRxiWNsDF0ih8Va9oI-49RngTnJ-BAWbmoQE5yV-2KPAgaPS8tfhwoGW_qD0MU&s', 'ANd9GcS6-FxGVEs8Jr4DQE9ksKOUR8N7znvxOKFvSUtOx6yflX3nJeiEkTF8LZ4hMQ&s', 'ANd9GcS9FCpAHJkS2zFI6UN4m-JQaQr-qk1cmAud91yR8yEyS6_7UE9uF7dt6vp2DeY&s', 'ANd9GcTOwSFWTwuJkS1SaenN0p1S0rq2b4iPr8y31d270VEzCTBnqepq9ie-zuu-vA&s', 'ANd9GcSGfj0TTICMx1s-elettOou4jClh-m2uwr7WUZA9WD3aiQ5OiIWJCrLz2s57qI&s', 'ANd9GcSFPVhP7TcE9oTPIsbaI6Acfso1hJeSzzTMLWDPvjB69MIG4zsQZanqbc1dcZE&s', 'ANd9GcRj1Fe3nTsLPT1WgYD4EsLr6jbPxR4yPU345blrCOKf2MkvQ66VityjR0YVoEg&s', 'ANd9GcRfovF8nFD3trE33YBA_z_xTUrhNoLaMDFGhl9jvam3UB9lvdVIVSMfRzUaWDA&s']"
904,熟,火,ripen,う-れる,"['ANd9GcQ5WUjySZamevtcCZ_hin-J318nBUjRjgKFeqnaHrfiQnjbpbErNO5zNSMKqYQ&s', 'ANd9GcR3WgLtyZp4ruvhUlKSKg-auEvRaAq2GsPSLBG4prfwy7LJOEX6RZkNckIuGg&s', 'ANd9GcTo7uc3EzBe5v9p3yQ16sInjU8IvYTAPF4Oz2vuDZn6QKDLqyaIVp3Ng8qBIw&s', 'ANd9GcRtp3yd5G86Hv2pID8FZMuz3atd5SUUSDAnlxCrrJztkQAhFl9nQFd0DzzTag&s', 'ANd9GcS2jCaSo23N5Gdh_Rv70khQIjtDkFwQcUr5wfh-g2ieRuxjzXrARJPA4Lie0Rg&s', 'ANd9GcQpV1e4C4k5_-2U382v1eDFJoJTTOVNvQi7PvwwXEc8UOEewYNYsMgSikp8sw&s', 'ANd9GcQ7l2deo28oX2RTNlv94EU9f2eEO7I8SJ5Ym_auu48V5veKdFbnGH5B4kYbyQ&s', 'ANd9GcQRrOtmopKgYN6uTSzwTiSuqKvdwgtxAL6CJ8BVS8zS0Xt0XBgkCW9vRrw1PA&s']"
905,純,糸,genuine,ジュン,"['ANd9GcSztftqjGpUt4nek_8hXIpxO5v5R3OnZTUQ96WqoZy1PO3RDY8aQh8kwagtuDk&s', 'ANd9GcRwwjgBdIGZwWaPiJrfe8PBNDm_2aLBFDBYrkHTRB3cF390Qgjp4GATP6MmbA&s', 'ANd9GcRf0sA8Pu38qcZxXSVn3IHghL8D8vkC5WGYqrn8V9fTqkiFpuMYQ0UA0ZntRGU&s', 'ANd9GcQZ5RE9ibvPGHcIN_niK6QDfyp-yxwr_EB-fRs9BIx8jMfTo2XjOQVgS5Mp034&s', 'ANd9GcTZw_S0K7y2UNdhrUb5zHLM990Ky2lQpR9oFBY9AEvL1nr07fjkI9I85MlpDfA&s', 'ANd9GcTdQ8-2KeIv8fslIFz1U2d6UZgCte1iFJ6aILvkln8vAAfrMSZ58m8QOm_TXA&s', 'ANd9GcQhQPfOt6WIdtJMWdaTYoTXc02pMTqLGnAd_ViA1k1pQy_D6oJbq-4T5bZYeqQ&s', 'ANd9GcQpQlKD40QTCgEKPAU0Wtym1bhBaQ0-QsbzObyH2Wap44j7Gl3mx5fkAAGF5w&s']"
